N,query_idx,correct_label,template_type,alias_m,coverage_at_10,coverage_at_20,alias_coverage_ratio,baseline_correct,token_max_correct,token_mean_correct,ce_max_correct,ce_mean_correct
100,0,0,0,1,1,1,1.0,1,1,1,1,1
100,1,1,1,1,1,1,1.0,1,1,1,1,1
100,2,2,2,1,1,1,1.0,1,1,1,1,1
100,3,3,0,1,1,1,1.0,1,1,1,1,1
100,4,4,1,1,1,1,1.0,1,1,1,1,1
100,5,5,2,1,1,1,1.0,1,1,1,1,1
100,6,6,0,1,1,1,1.0,1,1,1,1,1
100,7,7,1,1,1,1,1.0,1,1,1,1,1
100,8,8,2,1,1,1,1.0,1,1,1,1,1
100,9,9,0,1,1,1,1.0,1,1,1,1,1
100,10,10,1,1,1,1,1.0,1,1,1,1,1
100,11,11,2,1,1,1,1.0,1,1,1,1,1
100,12,12,0,1,1,1,1.0,1,1,1,1,1
100,13,13,1,1,1,1,1.0,1,1,1,1,1
100,14,14,2,1,1,1,1.0,1,1,1,1,1
100,15,15,0,1,1,1,1.0,1,1,1,1,1
100,16,16,1,1,1,1,1.0,1,1,1,1,1
100,17,17,2,1,1,1,1.0,1,1,1,1,1
100,18,18,0,1,1,1,1.0,1,1,1,1,1
100,19,19,1,1,1,1,1.0,1,1,1,1,1
100,20,20,2,1,1,1,1.0,1,1,1,1,1
100,21,21,0,1,1,1,1.0,1,1,1,1,1
100,22,22,1,1,1,1,1.0,1,1,1,1,1
100,23,23,2,1,1,1,1.0,1,1,1,1,1
100,24,24,0,1,1,1,1.0,1,1,1,1,1
100,25,25,1,1,1,1,1.0,1,1,1,1,1
100,26,26,2,1,1,1,1.0,1,1,1,1,1
100,27,27,0,1,1,1,1.0,1,1,1,1,1
100,28,28,1,1,1,1,1.0,1,1,1,1,1
100,29,29,2,1,1,1,1.0,1,1,1,1,1
100,30,30,0,1,1,1,1.0,1,1,1,1,1
100,31,31,1,1,1,1,1.0,1,1,1,1,1
100,32,32,2,1,1,1,1.0,1,1,1,1,1
100,33,33,0,1,1,1,1.0,1,1,1,1,1
100,34,34,1,1,1,1,1.0,1,1,1,1,1
100,35,35,2,1,1,1,1.0,1,1,1,1,1
100,36,36,0,1,1,1,1.0,1,1,1,1,1
100,37,37,1,1,1,1,1.0,1,1,1,1,1
100,38,38,2,1,1,1,1.0,1,1,1,1,1
100,39,39,0,1,1,1,1.0,1,1,1,1,1
100,40,40,1,1,1,1,1.0,1,1,1,1,1
100,41,41,2,1,1,1,1.0,1,1,1,1,1
100,42,42,0,1,1,1,1.0,1,1,1,1,1
100,43,43,1,1,1,1,1.0,1,1,1,1,1
100,44,44,2,1,1,1,1.0,1,1,1,1,1
100,45,45,0,1,1,1,1.0,1,1,1,1,1
100,46,46,1,1,1,1,1.0,1,1,1,1,1
100,47,47,2,1,1,1,1.0,1,1,1,1,1
100,48,48,0,1,1,1,1.0,1,1,1,1,1
100,49,49,1,1,1,1,1.0,1,1,1,1,1
100,50,50,2,1,1,1,1.0,1,1,1,1,1
100,51,51,0,1,1,1,1.0,1,1,1,1,1
100,52,52,1,1,1,1,1.0,1,1,1,1,1
100,53,53,2,1,1,1,1.0,1,1,1,1,1
100,54,54,0,1,1,1,1.0,1,1,1,1,1
100,55,55,1,1,1,1,1.0,1,1,1,1,1
100,56,56,2,1,1,1,1.0,1,1,1,1,1
100,57,57,0,1,1,1,1.0,1,1,1,1,1
100,58,58,1,1,1,1,1.0,1,1,1,1,1
100,59,59,2,1,1,1,1.0,1,1,1,1,1
100,60,60,0,1,1,1,1.0,1,1,1,1,1
100,61,61,1,1,1,1,1.0,1,1,1,1,1
100,62,62,2,1,1,1,1.0,1,1,1,1,1
100,63,63,0,1,1,1,1.0,1,1,1,1,1
100,64,64,1,1,1,1,1.0,1,1,1,1,1
100,65,65,2,1,1,1,1.0,1,1,1,1,1
100,66,66,0,1,1,1,1.0,1,1,1,1,1
100,67,67,1,1,1,1,1.0,1,1,1,1,1
100,68,68,2,1,1,1,1.0,1,1,1,1,1
100,69,69,0,1,1,1,1.0,1,1,1,1,1
100,70,70,1,1,1,1,1.0,1,1,1,1,1
100,71,71,2,1,1,1,1.0,1,1,1,1,1
100,72,72,0,1,1,1,1.0,1,1,1,1,1
100,73,73,1,1,1,1,1.0,1,1,1,1,1
100,74,74,2,1,1,1,1.0,1,1,1,1,1
100,75,75,0,1,1,1,1.0,1,1,1,1,1
100,76,76,1,1,1,1,1.0,1,1,1,1,1
100,77,77,2,1,1,1,1.0,1,1,1,1,1
100,78,78,0,1,1,1,1.0,1,1,1,1,1
100,79,79,1,1,1,1,1.0,1,1,1,1,1
100,80,80,2,1,1,1,1.0,1,1,1,1,1
100,81,81,0,1,1,1,1.0,1,1,1,1,1
100,82,82,1,1,1,1,1.0,1,1,1,1,1
100,83,83,2,1,1,1,1.0,1,1,1,1,1
100,84,84,0,1,1,1,1.0,1,1,1,1,1
100,85,85,1,1,1,1,1.0,1,1,1,1,1
100,86,86,2,1,1,1,1.0,1,1,1,1,1
100,87,87,0,1,1,1,1.0,1,1,1,1,1
100,88,88,1,1,1,1,1.0,1,1,1,1,1
100,89,89,2,1,1,1,1.0,1,1,1,1,1
100,90,90,0,1,1,1,1.0,1,1,1,1,1
100,91,91,1,1,1,1,1.0,1,1,1,1,1
100,92,92,2,1,1,1,1.0,1,1,1,1,1
100,93,93,0,1,1,1,1.0,1,1,1,1,1
100,94,94,1,1,1,1,1.0,1,1,1,1,1
100,95,95,2,1,1,1,1.0,1,1,1,1,1
100,96,96,0,1,1,1,1.0,1,1,1,1,1
100,97,97,1,1,1,1,1.0,1,1,1,1,1
100,98,98,2,1,1,1,1.0,1,1,1,1,1
100,99,99,0,1,1,1,1.0,1,1,1,1,1
