collision_mode,N,metric,method,recall
False,800,L1,Prototype,0.92625
False,800,L1,1-NN,0.9
False,800,L2,Prototype,0.93
False,800,L2,1-NN,0.9075
False,800,Cosine,Prototype,0.92875
False,800,Cosine,1-NN,0.9075
False,1600,L1,Prototype,0.880625
False,1600,L1,1-NN,0.845
False,1600,L2,Prototype,0.88625
False,1600,L2,1-NN,0.85875
False,1600,Cosine,Prototype,0.88625
False,1600,Cosine,1-NN,0.85875
True,800,L1,Prototype,0.4625
True,800,L1,1-NN,0.46
True,800,L2,Prototype,0.4675
True,800,L2,1-NN,0.4475
True,800,Cosine,Prototype,0.4675
True,800,Cosine,1-NN,0.4475
True,1600,L1,Prototype,0.35125
True,1600,L1,1-NN,0.3275
True,1600,L2,Prototype,0.35
True,1600,L2,1-NN,0.31375
True,1600,Cosine,Prototype,0.349375
True,1600,Cosine,1-NN,0.31375
