model,checkpoint,seed,probe_recall,current_recall
kNN,100,0,1.0,1.0
kNN,200,0,1.0,1.0
kNN,300,0,1.0,1.0
kNN,400,0,1.0,1.0
kNN,500,0,1.0,1.0
kNN,600,0,1.0,1.0
kNN,700,0,1.0,1.0
kNN,800,0,1.0,1.0
kNN,900,0,1.0,1.0
kNN,1000,0,1.0,1.0
kNN,100,1,1.0,1.0
kNN,200,1,1.0,1.0
kNN,300,1,1.0,1.0
kNN,400,1,1.0,1.0
kNN,500,1,1.0,1.0
kNN,600,1,1.0,1.0
kNN,700,1,1.0,1.0
kNN,800,1,1.0,1.0
kNN,900,1,1.0,1.0
kNN,1000,1,1.0,1.0
kNN,100,2,1.0,1.0
kNN,200,2,1.0,1.0
kNN,300,2,1.0,1.0
kNN,400,2,1.0,1.0
kNN,500,2,1.0,1.0
kNN,600,2,1.0,1.0
kNN,700,2,1.0,1.0
kNN,800,2,1.0,1.0
kNN,900,2,1.0,1.0
kNN,1000,2,1.0,1.0
kNN,100,3,1.0,1.0
kNN,200,3,1.0,1.0
kNN,300,3,1.0,1.0
kNN,400,3,1.0,1.0
kNN,500,3,1.0,1.0
kNN,600,3,1.0,1.0
kNN,700,3,1.0,1.0
kNN,800,3,1.0,1.0
kNN,900,3,1.0,1.0
kNN,1000,3,1.0,1.0
kNN,100,4,1.0,1.0
kNN,200,4,1.0,1.0
kNN,300,4,1.0,1.0
kNN,400,4,1.0,1.0
kNN,500,4,1.0,1.0
kNN,600,4,1.0,1.0
kNN,700,4,1.0,1.0
kNN,800,4,1.0,1.0
kNN,900,4,1.0,1.0
kNN,1000,4,1.0,1.0
Linear-1Pass,100,0,0.13,0.13
Linear-1Pass,200,0,0.12,0.08
Linear-1Pass,300,0,0.11,0.12
Linear-1Pass,400,0,0.11,0.11
Linear-1Pass,500,0,0.11,0.1
Linear-1Pass,600,0,0.1,0.11
Linear-1Pass,700,0,0.1,0.1
Linear-1Pass,800,0,0.11,0.09
Linear-1Pass,900,0,0.11,0.07
Linear-1Pass,1000,0,0.11,0.11
Linear-1Pass,100,1,0.14,0.14
Linear-1Pass,200,1,0.13,0.1
Linear-1Pass,300,1,0.12,0.15
Linear-1Pass,400,1,0.12,0.13
Linear-1Pass,500,1,0.1,0.08
Linear-1Pass,600,1,0.1,0.08
Linear-1Pass,700,1,0.09,0.09
Linear-1Pass,800,1,0.09,0.08
Linear-1Pass,900,1,0.08,0.06
Linear-1Pass,1000,1,0.09,0.04
Linear-1Pass,100,2,0.07,0.07
