seed,experiment,config,alpha_decay,u2_enabled,replay_buffer_size,num_facts,recall,forgetting,drift,variance_mean,variance_min,variance_max,runtime_sec,width
42,u2_ablation_scaling,"width=32,num_facts=5",0.02,False,0,5,0.6,-0.19999999999999996,2.326440915465355,0.005971724167466164,0.0007805275963619351,0.00999890360981226,0.24619555473327637,32
101,u2_ablation_scaling,"width=32,num_facts=5",0.02,False,0,5,0.4,0.19999999999999996,2.362549737095833,0.0055900998413562775,0.0007894542068243027,0.009995357133448124,0.2491755485534668,32
202,u2_ablation_scaling,"width=32,num_facts=5",0.02,False,0,5,0.2,0.2,2.367643803358078,0.005634878762066364,0.0007780002197250724,0.00999826192855835,0.2710273265838623,32
303,u2_ablation_scaling,"width=32,num_facts=5",0.02,False,0,5,0.8,0.0,2.5506815314292908,0.005282000172883272,0.0007639189134351909,0.009924156591296196,0.36536312103271484,32
404,u2_ablation_scaling,"width=32,num_facts=5",0.02,False,0,5,0.4,0.0,2.5282568633556366,0.005361519288271666,0.0007750691147521138,0.009993724524974823,0.37748289108276367,32
505,u2_ablation_scaling,"width=32,num_facts=5",0.02,False,0,5,0.4,0.19999999999999996,2.3611402362585068,0.006059227045625448,0.0007812377880327404,0.009911158122122288,0.33748650550842285,32
606,u2_ablation_scaling,"width=32,num_facts=5",0.02,False,0,5,0.2,0.0,2.3322135508060455,0.005821892060339451,0.0007831653929315507,0.00999338086694479,0.2812352180480957,32
707,u2_ablation_scaling,"width=32,num_facts=5",0.02,False,0,5,0.2,0.2,2.5027463138103485,0.005616337992250919,0.0007862378843128681,0.009899876080453396,0.2751140594482422,32
808,u2_ablation_scaling,"width=32,num_facts=5",0.02,False,0,5,0.4,0.19999999999999996,2.2517179697752,0.0061334408819675446,0.0007766729686409235,0.009999999776482582,0.30605030059814453,32
909,u2_ablation_scaling,"width=32,num_facts=5",0.02,False,0,5,0.4,0.0,2.3682936877012253,0.005703581962734461,0.0007707601180300117,0.009999999776482582,0.2705371379852295,32
42,u2_ablation_scaling,"width=32,num_facts=10",0.02,False,0,10,0.3,0.10000000000000003,2.9946519136428833,0.0056008221581578255,0.0007926721009425819,0.009890043176710606,0.44985365867614746,32
101,u2_ablation_scaling,"width=32,num_facts=10",0.02,False,0,10,0.1,0.30000000000000004,2.9530111849308014,0.005656247492879629,0.0007969166035763919,0.00983230397105217,0.4360792636871338,32
202,u2_ablation_scaling,"width=32,num_facts=10",0.02,False,0,10,0.2,0.2,2.7224792540073395,0.0059694284573197365,0.0007907010149210691,0.009935555048286915,0.4134504795074463,32
303,u2_ablation_scaling,"width=32,num_facts=10",0.02,False,0,10,0.2,0.3,3.023607015609741,0.0053295413963496685,0.0007861352642066777,0.009799039922654629,0.571923017501831,32
404,u2_ablation_scaling,"width=32,num_facts=10",0.02,False,0,10,0.2,0.3,2.9117808043956757,0.005435453727841377,0.0007913254667073488,0.009930252097547054,0.47881293296813965,32
505,u2_ablation_scaling,"width=32,num_facts=10",0.02,False,0,10,0.1,0.30000000000000004,2.9504752457141876,0.005417416337877512,0.0007888267864473164,0.0098744360730052,0.4049203395843506,32
606,u2_ablation_scaling,"width=32,num_facts=10",0.02,False,0,10,0.1,0.19999999999999998,2.7626462280750275,0.005943897645920515,0.0007712315418757498,0.009895432740449905,0.48739099502563477,32
707,u2_ablation_scaling,"width=32,num_facts=10",0.02,False,0,10,0.2,0.09999999999999998,2.9376297891139984,0.005411320365965366,0.0007735403487458825,0.00991558376699686,0.43142151832580566,32
808,u2_ablation_scaling,"width=32,num_facts=10",0.02,False,0,10,0.3,0.2,2.9653515815734863,0.005414564628154039,0.0007915303576737642,0.009941764175891876,0.4009065628051758,32
909,u2_ablation_scaling,"width=32,num_facts=10",0.02,False,0,10,0.2,0.3,2.937624603509903,0.005731514655053616,0.0007940469076856971,0.00981663167476654,0.3861682415008545,32
42,u2_ablation_scaling,"width=32,num_facts=20",0.02,False,0,20,0.15,0.4,3.8289438486099243,0.005093825049698353,0.0008064413559623063,0.00989405158907175,0.8236596584320068,32
101,u2_ablation_scaling,"width=32,num_facts=20",0.02,False,0,20,0.05,0.35000000000000003,3.7601439356803894,0.005375935696065426,0.0007611953769810498,0.009899483993649483,0.7206716537475586,32
202,u2_ablation_scaling,"width=32,num_facts=20",0.02,False,0,20,0.05,0.2,3.532719373703003,0.00594624038785696,0.0007986545097082853,0.009949534200131893,0.7282290458679199,32
303,u2_ablation_scaling,"width=32,num_facts=20",0.02,False,0,20,0.1,0.4,4.068140625953674,0.004937659949064255,0.0007913311128504574,0.009939276613295078,0.7639269828796387,32
404,u2_ablation_scaling,"width=32,num_facts=20",0.02,False,0,20,0.0,0.4,3.9004327058792114,0.005069234874099493,0.0008031652541831136,0.009862842969596386,1.0076899528503418,32
505,u2_ablation_scaling,"width=32,num_facts=20",0.02,False,0,20,0.15,0.15,3.8308704495429993,0.004958275705575943,0.0007619544630870223,0.009821098297834396,1.0508177280426025,32
606,u2_ablation_scaling,"width=32,num_facts=20",0.02,False,0,20,0.1,0.1,3.825321316719055,0.005585517734289169,0.0008161528967320919,0.00993366353213787,0.9359738826751709,32
707,u2_ablation_scaling,"width=32,num_facts=20",0.02,False,0,20,0.0,0.2,3.9381465911865234,0.005139959044754505,0.0008078754181042314,0.00984551664441824,0.8521249294281006,32
808,u2_ablation_scaling,"width=32,num_facts=20",0.02,False,0,20,0.05,0.25,3.9366629123687744,0.004789869766682386,0.0007964307442307472,0.009935080073773861,0.9280898571014404,32
909,u2_ablation_scaling,"width=32,num_facts=20",0.02,False,0,20,0.05,0.3,3.8827048540115356,0.004896947648376226,0.0007853953866288066,0.009912852197885513,0.7658493518829346,32
42,u2_ablation_scaling,"width=32,num_facts=50",0.02,False,0,50,0.08,0.48000000000000004,5.982324123382568,0.006007262039929628,0.0007617633091285825,0.009962620213627815,2.0163400173187256,32
101,u2_ablation_scaling,"width=32,num_facts=50",0.02,False,0,50,0.06,0.42,5.674579858779907,0.006011949852108955,0.000756390334572643,0.009943954646587372,1.7549622058868408,32
