seed,experiment,config,alpha_decay,u2_enabled,replay_buffer_size,num_facts,recall,forgetting,drift_active_from_w0,drift_active_from_w_post_train,drift_dormant_from_w0,drift_layer0,variance_mean,variance_min,variance_max,runtime_sec
42,drift_analysis,u2_enabled=True,0.02,True,0,5,0.2,0.6000000000000001,0.7769492864608765,0.7949610948562622,0.8516750335693359,6.605633735656738,0.009969430975615978,0.006704710889607668,0.009999977424740791,0.5903854370117188
101,drift_analysis,u2_enabled=True,0.02,True,0,5,0.2,0.2,0.7374431490898132,0.7719603776931763,0.775374174118042,6.820669651031494,0.009968485683202744,0.006543819326907396,0.009999977424740791,0.5650200843811035
202,drift_analysis,u2_enabled=True,0.02,True,0,5,0.2,0.6000000000000001,0.8199151754379272,0.810341477394104,0.8192964792251587,6.334855556488037,0.009968112222850323,0.0065252031199634075,0.009999977424740791,0.5734469890594482
303,drift_analysis,u2_enabled=True,0.02,True,0,5,0.2,0.2,0.7510560750961304,0.7683935761451721,0.7781374454498291,6.783443927764893,0.009971004910767078,0.006787200924009085,0.009999977424740791,0.6094646453857422
404,drift_analysis,u2_enabled=True,0.02,True,0,5,0.2,0.6000000000000001,0.7201856374740601,0.7358205914497375,0.8784168362617493,6.478915214538574,0.009969955310225487,0.006872748956084251,0.009999977424740791,0.5899076461791992
505,drift_analysis,u2_enabled=True,0.02,True,0,5,0.2,0.6000000000000001,0.7209573984146118,0.758823812007904,0.8209000825881958,6.718371391296387,0.009966591373085976,0.006374372635036707,0.009999977424740791,0.5997326374053955
606,drift_analysis,u2_enabled=True,0.02,True,0,5,0.2,0.39999999999999997,0.7385684847831726,0.7307479977607727,0.7942522168159485,6.909017562866211,0.009965780191123486,0.0062544019892811775,0.009999977424740791,0.5747463703155518
707,drift_analysis,u2_enabled=True,0.02,True,0,5,0.2,0.2,0.6538859605789185,0.7321417927742004,0.9132840633392334,7.04176139831543,0.009961655363440514,0.005984152667224407,0.009999977424740791,0.5468640327453613
808,drift_analysis,u2_enabled=True,0.02,True,0,5,0.6,0.0,0.682754635810852,0.7506046295166016,0.9085086584091187,6.705089569091797,0.009967494755983353,0.0064220423810184,0.009999977424740791,0.5572233200073242
909,drift_analysis,u2_enabled=True,0.02,True,0,5,0.2,0.39999999999999997,0.6717770099639893,0.7352412343025208,0.8772327899932861,6.548518180847168,0.009966216050088406,0.006338105536997318,0.009999977424740791,0.675217866897583
42,drift_analysis,u2_enabled=False,0.02,False,0,5,0.2,0.39999999999999997,0.9982753992080688,0.9768896102905273,0.9132878184318542,6.8849639892578125,0.009969951584935188,0.006828462239354849,0.009999974630773067,0.5486769676208496
101,drift_analysis,u2_enabled=False,0.02,False,0,5,0.2,0.2,0.9758550524711609,0.9676626920700073,0.8398311138153076,6.727806091308594,0.00996960885822773,0.006754182279109955,0.009999977424740791,0.5755467414855957
202,drift_analysis,u2_enabled=False,0.02,False,0,5,0.6,0.0,1.0067614316940308,0.9370315670967102,0.8877738118171692,6.72865629196167,0.009966084733605385,0.006417861208319664,0.009999977424740791,0.7846896648406982
303,drift_analysis,u2_enabled=False,0.02,False,0,5,0.0,0.6,0.9342694282531738,0.9058979749679565,0.8722878694534302,6.635941982269287,0.009970967657864094,0.006884449627250433,0.009999977424740791,0.6003530025482178
404,drift_analysis,u2_enabled=False,0.02,False,0,5,0.0,1.0,0.8712881207466125,0.8588175773620605,0.8957405090332031,6.486432075500488,0.009966866113245487,0.006584957707673311,0.009999977424740791,0.6923708915710449
505,drift_analysis,u2_enabled=False,0.02,False,0,5,0.2,0.39999999999999997,0.9837902188301086,0.9340307116508484,0.9218206405639648,6.775030136108398,0.009967868216335773,0.006618552841246128,0.009999977424740791,0.6737818717956543
606,drift_analysis,u2_enabled=False,0.02,False,0,5,0.0,0.6,0.948708176612854,0.911697268486023,0.8786356449127197,6.901043891906738,0.009967729449272156,0.00656462786719203,0.009999977424740791,0.6735882759094238
707,drift_analysis,u2_enabled=False,0.02,False,0,5,0.2,0.6000000000000001,0.869907557964325,0.8975631594657898,1.0040733814239502,6.981141567230225,0.00996225606650114,0.006144356448203325,0.009999977424740791,0.8221042156219482
808,drift_analysis,u2_enabled=False,0.02,False,0,5,0.4,0.19999999999999996,0.8546451330184937,0.9321163296699524,0.9722210764884949,6.909361362457275,0.00996699184179306,0.006496016401797533,0.009999977424740791,1.1448206901550293
909,drift_analysis,u2_enabled=False,0.02,False,0,5,0.2,0.6000000000000001,0.7949942350387573,0.8810555338859558,0.9412539601325989,6.465358257293701,0.009964235126972198,0.0062561663798987865,0.009999977424740791,0.883568525314331
