encoder,width,num_facts,seed,recall,sep_ratio,norm_margin,runtime_sec
MiniLM,32,128,42,0.546875,1.0236396643660481,0.004897763021290302,0.035790443420410156
MiniLM,32,128,101,0.484375,1.0105624453348006,0.0022358777932822704,0.030823469161987305
MiniLM,32,128,202,0.4375,0.9812390407425208,-0.0037524295039474964,0.05249905586242676
MiniLM,64,256,42,0.5859375,1.0276391748315743,0.005870671942830086,0.1873335838317871
MiniLM,64,256,101,0.6484375,1.0496053526751499,0.010366643778979778,0.14629530906677246
MiniLM,64,256,202,0.6640625,1.0721880294528607,0.013322224840521812,0.11712765693664551
MiniLM,128,512,42,0.734375,1.0703994386973306,0.014668859541416168,0.33893847465515137
MiniLM,128,512,101,0.796875,1.0853793157828369,0.017159227281808853,0.3364710807800293
MiniLM,128,512,202,0.814453125,1.0986211993374613,0.01915438286960125,0.31734156608581543
MiniLM,256,1024,42,0.7646484375,1.0814624578150545,0.01616518571972847,0.9905593395233154
MiniLM,256,1024,101,0.818359375,1.087664778188183,0.01712147518992424,0.9320077896118164
MiniLM,256,1024,202,0.7802734375,1.0899068224040573,0.01737567037343979,0.9324965476989746
MiniLM,512,2048,42,0.78173828125,1.0816666296518649,0.016265830025076866,5.564420223236084
MiniLM,512,2048,101,0.80810546875,1.0842692790016406,0.01668921299278736,14.365712404251099
MiniLM,512,2048,202,0.76513671875,1.081634038779467,0.01624779775738716,20.96203589439392
E5-small,32,128,42,0.328125,0.8781636139244666,-0.026427283883094788,0.0569760799407959
E5-small,32,128,101,0.3046875,0.9239465931358591,-0.016235429793596268,0.04508495330810547
E5-small,32,128,202,0.234375,0.923095833081418,-0.016472944989800453,0.041559696197509766
E5-small,64,256,42,0.38671875,0.9551723685699128,-0.009010455571115017,0.19321703910827637
E5-small,64,256,101,0.3828125,0.9621994158919183,-0.007955612614750862,0.12369084358215332
E5-small,64,256,202,0.4453125,0.994925429421093,-0.0010651368647813797,0.13323378562927246
