seed,num_facts,prototype_acc,knn1_acc,knn3_acc,permuted_acc,mean_radius,mean_nearest_other,mean_margin,runtime_sec
42,5,0.8,0.8,0.4,0.6,6.141169929504395,9.14011287689209,2.9989429473876954,0.013574838638305664
101,5,1.0,1.0,0.4,0.6,6.404501247406006,9.276155281066895,2.8716540336608887,0.010454177856445312
202,5,1.0,1.0,0.2,0.0,6.963493061065674,10.270573616027832,3.307080554962158,0.011214971542358398
303,5,1.0,1.0,0.2,0.2,6.3600811004638675,9.187428760528565,2.827347660064697,0.00977468490600586
404,5,0.8,0.8,0.4,0.2,6.10586519241333,7.621050548553467,1.5151853561401367,0.012643814086914062
505,5,0.8,0.8,0.4,0.0,5.923867893218994,8.012387084960938,2.0885191917419434,0.012064933776855469
606,5,1.0,1.0,0.6,0.2,5.279239463806152,8.671044158935548,3.3918046951293945,0.012019872665405273
707,5,0.8,0.8,0.4,0.2,6.172171497344971,9.163941955566406,2.9917704582214357,0.00979304313659668
808,5,1.0,1.0,0.2,0.6,6.448026943206787,9.05945053100586,2.6114235877990724,0.013816356658935547
909,5,0.8,0.8,0.4,0.6,6.21949405670166,7.811252307891846,1.5917582511901855,0.010053157806396484
42,10,0.6,0.6,0.3,0.1,6.851531934738159,8.070598888397218,1.2190669536590577,0.047510385513305664
101,10,1.0,1.0,0.2,0.3,6.843654012680053,8.432361078262328,1.5887070655822755,0.041901350021362305
202,10,0.8,0.8,0.3,0.1,6.888440561294556,8.521987867355346,1.633547306060791,0.03556227684020996
303,10,1.0,1.0,0.3,0.1,6.737590265274048,8.200881147384644,1.4632908821105957,0.0509943962097168
404,10,0.6,0.6,0.4,0.1,6.908175611495972,7.693442058563233,0.7852664470672608,0.038414955139160156
505,10,0.8,0.8,0.3,0.1,6.4211548328399655,7.6359703063964846,1.2148154735565186,0.03536367416381836
606,10,1.0,1.0,0.3,0.1,5.311487293243408,7.183848428726196,1.872361135482788,0.02899909019470215
707,10,0.7,0.7,0.3,0.3,6.914448833465576,8.224148225784301,1.3096993923187257,0.03857755661010742
808,10,0.9,0.9,0.3,0.1,6.596798992156982,8.216307592391967,1.6195086002349854,0.03750181198120117
909,10,0.9,0.9,0.3,0.1,6.654733324050904,7.793869066238403,1.1391357421875,0.02863931655883789
42,20,0.6,0.6,0.25,0.05,6.795729303359986,7.623373627662659,0.8276443243026733,0.06347298622131348
101,20,0.8,0.8,0.3,0.05,6.7051136016845705,7.5274085521698,0.8222949504852295,0.048072099685668945
202,20,0.7,0.7,0.3,0.0,6.61508162021637,7.450695991516113,0.8356143712997437,0.04536914825439453
303,20,0.95,0.95,0.4,0.0,6.795737385749817,7.852085280418396,1.0563478946685791,0.04549121856689453
404,20,0.7,0.7,0.15,0.05,6.966027784347534,7.59074649810791,0.624718713760376,0.03723859786987305
505,20,0.85,0.85,0.25,0.1,6.227782130241394,7.537752079963684,1.30996994972229,0.05107855796813965
606,20,0.8,0.8,0.3,0.1,5.480216205120087,6.668101048469543,1.1878848433494569,0.030236244201660156
707,20,0.65,0.65,0.25,0.1,6.798651814460754,7.635005903244019,0.8363540887832641,0.05378580093383789
808,20,0.65,0.65,0.25,0.0,6.525258708000183,7.451755475997925,0.9264967679977417,0.029451847076416016
909,20,0.85,0.85,0.35,0.1,6.347200775146485,7.215920734405517,0.8687199592590332,0.04737257957458496
42,50,0.58,0.58,0.14,0.06,6.848940896987915,7.165943202972412,0.3170023059844971,0.19987034797668457
101,50,0.6,0.6,0.26,0.04,6.841037530899047,7.223524656295776,0.3824871253967285,0.14572620391845703
202,50,0.54,0.54,0.32,0.04,6.650975198745727,6.959349708557129,0.30837450981140135,0.14095020294189453
303,50,0.68,0.68,0.34,0.02,6.721844444274902,7.127619218826294,0.4057747745513916,0.12939167022705078
404,50,0.54,0.54,0.16,0.02,7.041947870254517,7.2574644947052,0.2155166244506836,0.13100743293762207
505,50,0.78,0.78,0.26,0.02,6.0053964138031,6.84955545425415,0.8441590404510498,0.13046979904174805
606,50,0.68,0.68,0.38,0.0,5.445677452087402,6.076900320053101,0.6312228679656983,0.11929464340209961
707,50,0.58,0.58,0.26,0.06,6.571597099304199,7.0039570522308345,0.43235995292663576,0.11898159980773926
808,50,0.46,0.46,0.22,0.0,6.614692516326905,6.731736898422241,0.11704438209533691,0.13459062576293945
909,50,0.62,0.62,0.36,0.02,6.345401906967163,6.604398803710938,0.2589968967437744,0.13070034980773926
42,100,0.57,0.57,0.21,0.0,6.584174752235413,6.827580511569977,0.2434057593345642,0.3827230930328369
101,100,0.54,0.54,0.24,0.0,6.7600103378295895,6.924118995666504,0.16410865783691406,0.3222193717956543
202,100,0.45,0.45,0.22,0.0,6.408535587787628,6.340559635162354,-0.06797595262527466,0.2853426933288574
303,100,0.57,0.57,0.26,0.0,6.484738366603851,6.699540491104126,0.21480212450027467,0.2729320526123047
404,100,0.56,0.56,0.24,0.0,6.921234381198883,7.0632632446289065,0.1420288634300232,0.28145599365234375
505,100,0.57,0.57,0.26,0.0,5.930577006340027,6.228104681968689,0.2975276756286621,0.2657639980316162
606,100,0.63,0.63,0.29,0.0,5.494129116535187,5.845026500225067,0.3508973836898804,0.2879047393798828
707,100,0.47,0.47,0.24,0.0,6.3587640857696535,6.401441140174866,0.042677054405212404,0.26267099380493164
808,100,0.49,0.49,0.2,0.0,6.4171894884109495,6.39002073764801,-0.027168750762939453,0.2825775146484375
909,100,0.54,0.54,0.27,0.0,6.473386476039886,6.59658715724945,0.1232006812095642,0.265643835067749
42,200,0.465,0.465,0.19,0.0,6.470293630361557,6.41005634188652,-0.06023728847503662,1.9766955375671387
101,200,0.41,0.41,0.19,0.0,6.719161093235016,6.561302372217178,-0.15785872101783752,2.4011685848236084
202,200,0.395,0.395,0.2,0.0,6.240221706628799,5.990096918344498,-0.25012478828430174,2.448747396469116
303,200,0.52,0.52,0.265,0.0,6.487814999818802,6.578093762397766,0.09027876257896424,2.388478994369507
404,200,0.44,0.44,0.215,0.0,6.865887992382049,6.739165884256363,-0.12672210812568666,1.734799861907959
505,200,0.51,0.51,0.225,0.0,5.88528036236763,5.986723926067352,0.1014435636997223,1.4724717140197754
606,200,0.615,0.615,0.24,0.0,5.419465608596802,5.696548963785172,0.27708335518836974,3.0084424018859863
707,200,0.42,0.42,0.215,0.0,6.302318376302719,6.110124304294586,-0.19219407200813293,2.6428096294403076
808,200,0.46,0.46,0.21,0.0,6.295946854352951,6.1518486678600315,-0.14409818649291992,2.361307144165039
909,200,0.45,0.45,0.24,0.0,6.478646287918091,6.405564558506012,-0.07308172941207886,1.1629350185394287
42,400,0.465,0.465,0.205,0.0,6.387406243085861,6.284705954790115,-0.10270028829574585,3.6824896335601807
101,400,0.3325,0.3325,0.1475,0.0,6.828628504872322,6.465368061065674,-0.36326044380664824,3.516657590866089
202,400,0.365,0.365,0.18,0.0,6.197468120455742,5.860147979855538,-0.3373201406002045,3.516768455505371
303,400,0.465,0.465,0.21,0.0,6.370793119072914,6.25237508714199,-0.11841803193092346,3.514908790588379
404,400,0.355,0.355,0.1675,0.0,6.906548262834549,6.518643084764481,-0.38790517807006836,3.5181221961975098
505,400,0.4675,0.4675,0.215,0.0,5.870124219655991,5.872215203642845,0.002090983986854553,3.5012588500976562
606,400,0.5175,0.5175,0.2425,0.0,5.457585856318474,5.49655150949955,0.03896565318107605,3.509139060974121
707,400,0.39,0.39,0.205,0.0,6.2501061326265335,5.957114493846893,-0.2929916387796402,3.4990880489349365
808,400,0.3725,0.3725,0.16,0.0,6.281169655323029,5.930626057982445,-0.3505435973405838,3.514508008956909
909,400,0.3775,0.3775,0.215,0.0,6.4082574057579045,6.118714434504509,-0.28954297125339507,3.5140016078948975
42,800,0.39375,0.39375,0.1725,0.0,6.31311643064022,6.09054532289505,-0.22257110774517058,13.891018390655518
101,800,0.31375,0.31375,0.1225,0.0,6.814940249025821,6.34343711078167,-0.4715031382441521,13.846001863479614
202,800,0.33625,0.33625,0.14625,0.0,6.150968435406685,5.627574573457241,-0.5233938619494438,13.593888282775879
303,800,0.36625,0.36625,0.17375,0.0,6.439574935436249,6.074826877713203,-0.36474805772304536,13.876193761825562
404,800,0.31125,0.31125,0.155,0.0,6.885514532029629,6.380776932239533,-0.5047375997900962,13.68259310722351
505,800,0.3725,0.3725,0.18,0.0,5.884196612536908,5.596054051816464,-0.28814256072044375,13.72793698310852
606,800,0.39625,0.39625,0.22,0.0,5.53401223897934,5.336758342087268,-0.19725389689207076,13.626164197921753
707,800,0.30375,0.30375,0.15125,0.0,6.283669468164444,5.73223354190588,-0.551435926258564,13.46526288986206
