encoder,norm_mode,space,projection,N,metric,recall_proto,recall_1nn,proto_advantage,mean_lcomp,centroid_top1,centroid_top5,centroid_top10,centroid_top20,exemplar_top1,exemplar_top5,exemplar_top10,exemplar_top20,mean_proto_rank,median_proto_rank,p90_proto_rank,mean_exemplar_rank,median_exemplar_rank,p90_exemplar_rank,linear_probe_svc,linear_probe_lr,margin_p1,margin_p5,margin_p10,margin_p25,margin_p50,margin_p75,margin_p90,z_score,distortion_mean,distortion_median,distortion_p95
all-MiniLM-L6-v2,raw,raw,none,100,L1,1.0,1.0,0.0,1.0052319592237473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.47711682319641113,0.8436190128326416,1.2653448104858398,1.6119306087493896,2.217135429382324,3.1299171447753906,3.7045650482177743,3.24216145547086,0.0,0.0,0.0
all-MiniLM-L6-v2,raw,raw,none,100,L2,1.0,1.0,0.0,1.0061500352621078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.03896822690963745,0.05796589851379395,0.08065192103385925,0.1113329827785492,0.1402948498725891,0.20446138083934784,0.2352548658847809,3.235312964877392,0.0,0.0,0.0
all-MiniLM-L6-v2,raw,raw,none,100,Cosine,1.0,1.0,0.0,1.082807144522667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.029874545335769654,0.04274188280105591,0.05887232422828675,0.08458064496517181,0.10663828253746033,0.1517031341791153,0.1742392420768738,2.5876480257940866,0.0,0.0,0.0
all-MiniLM-L6-v2,raw,proj_128d,random,100,L1,0.92,0.9,0.020000000000000018,1.0482980674505233,0.92,0.97,0.97,0.99,0.9,0.99,0.99,1.0,0.72,0.0,0.0,0.21,0.0,0.10000000000000853,0.02,0.01,-4.0491223335266116e-05,-1.068711280822754e-05,2.050399780273438e-06,7.867813110351562e-06,1.5854835510253906e-05,2.981722354888916e-05,3.6674737930297856e-05,2.867239817220043,0.999987032439735,0.9999871850013733,0.9999898076057434
all-MiniLM-L6-v2,raw,proj_128d,random,100,L2,0.01,0.01,0.0,0.0,0.01,0.05,0.1,0.2,0.01,0.05,0.1,0.2,49.38,49.5,89.10000000000001,49.5,49.5,89.10000000000001,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03527372394011042,0.999987032439735,0.9999871850013733,0.9999898076057434
all-MiniLM-L6-v2,raw,proj_128d,random,100,Cosine,0.02,0.01,0.01,1.5010883170366287,0.02,0.08,0.09,0.13,0.01,0.07,0.1,0.17,62.5,71.5,96.0,58.7,62.5,97.0,0.02,0.01,-5.370378494262695e-07,-4.798173904418946e-07,-4.76837158203125e-07,-4.172325134277344e-07,-2.980232238769531e-07,-1.7881393432617188e-07,-1.728534698486323e-07,2.91851024012779,0.999987032439735,0.9999871850013733,0.9999898076057434
all-MiniLM-L6-v2,raw,proj_128d,svd,100,L1,1.0,1.0,0.0,1.0225433856248856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.3621236419677734,0.5341982126235962,0.7298150539398194,0.8806352615356445,1.1235294342041016,1.5471707582473755,1.9776913642883303,3.638260076291885,0.6061404963155409,0.6146664023399353,0.6575399100780487
all-MiniLM-L6-v2,raw,proj_128d,svd,100,L2,1.0,1.0,0.0,1.0135826563835144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.04648786008358002,0.06853922009468079,0.09466015696525575,0.12576915323734283,0.16170188784599304,0.23323673754930496,0.2668720930814743,3.2562975955867772,0.6061404963155409,0.6146664023399353,0.6575399100780487
all-MiniLM-L6-v2,raw,proj_128d,svd,100,Cosine,1.0,1.0,0.0,1.1456537652015686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.04080464720726013,0.060251984000205996,0.10163541436195374,0.13348238170146942,0.1633549928665161,0.20889855921268463,0.2382176756858826,2.690898944694886,0.6061404963155409,0.6146664023399353,0.6575399100780487
all-MiniLM-L6-v2,raw,proj_256d,random,100,L1,0.93,0.94,-0.009999999999999898,1.008494464159012,0.93,1.0,1.0,1.0,0.94,1.0,1.0,1.0,0.09,0.0,0.0,0.08,0.0,0.0,0.84,0.79,-0.03990189433097839,-0.020020893216133116,0.014238435029983522,0.07324172556400299,0.13151246309280396,0.2049706131219864,0.2539524376392365,3.1163236165167234,0.9193013409475187,0.9201632142066956,0.9341537594795227
all-MiniLM-L6-v2,raw,proj_256d,random,100,L2,0.82,0.85,-0.030000000000000027,1.0278260046243668,0.82,0.92,0.93,0.95,0.85,0.98,0.99,1.0,3.16,0.0,4.0,0.41,0.0,1.0,0.84,0.79,-0.06365402780473232,-0.017207314819097517,-0.006834017485380172,0.0030067414045333862,0.009534105658531189,0.018140289932489395,0.025589464604854586,2.3454167619557906,0.9193013409475187,0.9201632142066956,0.9341537594795227
all-MiniLM-L6-v2,raw,proj_256d,random,100,Cosine,0.82,0.84,-0.020000000000000018,1.0742582619190215,0.82,0.92,0.94,0.95,0.84,0.98,0.99,1.0,3.12,0.0,3.1000000000000085,0.45,0.0,1.0,0.84,0.79,-3.3885836601257324e-05,-1.0314583778381347e-05,-2.771615982055664e-06,1.5050172805786133e-06,3.7550926208496094e-06,6.9141387939453125e-06,9.608268737792975e-06,1.695841617715137,0.9193013409475187,0.9201632142066956,0.9341537594795227
all-MiniLM-L6-v2,raw,proj_256d,svd,100,L1,1.0,1.0,0.0,1.0112998843193055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.369447603225708,0.5411031723022461,0.7469620704650879,0.9139561653137207,1.1281893253326416,1.5538398027420044,2.0118773460388186,3.3081725860462714,0.5648298643014811,0.5772843956947327,0.6240300118923188
all-MiniLM-L6-v2,raw,proj_256d,svd,100,L2,1.0,1.0,0.0,1.0071709257364274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.04050499975681305,0.0605116456747055,0.08375776410102845,0.11565768718719482,0.14533522725105286,0.21098759770393372,0.2445695847272873,3.2377806919558605,0.5648298643014811,0.5772843956947327,0.6240300118923188
all-MiniLM-L6-v2,raw,proj_256d,svd,100,Cosine,1.0,1.0,0.0,1.1037545961141586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.037542736530303954,0.05665327906608582,0.09453807473182678,0.12689489126205444,0.15629234910011292,0.20121948421001434,0.22586412429809571,2.686816034685254,0.5648298643014811,0.5772843956947327,0.6240300118923188
all-MiniLM-L6-v2,l2_normalized,raw,none,100,L1,1.0,1.0,0.0,1.0052319610118865,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.4771158885955811,0.8436189651489258,1.2653456687927247,1.6119298934936523,2.217134952545166,3.129918098449707,3.704565143585206,3.2421614648557475,0.0,0.0,0.0
all-MiniLM-L6-v2,l2_normalized,raw,none,100,L2,1.0,1.0,0.0,1.0061500334739686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.03896816909313202,0.05796573162078857,0.08065192699432373,0.11133275926113129,0.1402949094772339,0.2044614553451538,0.23525497913360596,3.235313045012805,0.0,0.0,0.0
all-MiniLM-L6-v2,l2_normalized,raw,none,100,Cosine,1.0,1.0,0.0,1.0828071701526643,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.029874486327171327,0.04274193346500397,0.058872318267822264,0.08458070456981659,0.10663831233978271,0.1517031341791153,0.17423930168151858,2.5876480421251546,0.0,0.0,0.0
all-MiniLM-L6-v2,l2_normalized,proj_128d,random,100,L1,0.92,0.9,0.020000000000000018,1.0482980674505233,0.92,0.97,0.97,0.99,0.9,0.99,0.99,1.0,0.72,0.0,0.0,0.21,0.0,0.10000000000000853,0.02,0.01,-4.0491223335266116e-05,-1.068711280822754e-05,2.050399780273438e-06,7.867813110351562e-06,1.5854835510253906e-05,2.981722354888916e-05,3.6674737930297856e-05,2.8672384560199133,0.999987032439735,0.9999871850013733,0.9999898076057434
all-MiniLM-L6-v2,l2_normalized,proj_128d,random,100,L2,0.01,0.01,0.0,0.0,0.01,0.05,0.1,0.2,0.01,0.05,0.1,0.2,49.38,49.5,89.10000000000001,49.5,49.5,89.10000000000001,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03527373590741132,0.999987032439735,0.9999871850013733,0.9999898076057434
all-MiniLM-L6-v2,l2_normalized,proj_128d,random,100,Cosine,0.02,0.01,0.01,1.5010883170366287,0.02,0.08,0.09,0.13,0.01,0.07,0.1,0.17,62.5,71.5,96.0,58.7,62.5,97.0,0.02,0.01,-5.370378494262695e-07,-4.798173904418946e-07,-4.76837158203125e-07,-4.172325134277344e-07,-2.980232238769531e-07,-1.7881393432617188e-07,-1.728534698486323e-07,2.91851024012779,0.999987032439735,0.9999871850013733,0.9999898076057434
all-MiniLM-L6-v2,l2_normalized,proj_128d,svd,100,L1,1.0,1.0,0.0,1.0225557792186737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.36242114543914794,0.5344353199005127,0.7297789096832276,0.8803855180740356,1.1233880519866943,1.5466047525405884,1.977979326248169,3.6382773565421553,0.606141167718011,0.6146971583366394,0.6575410962104797
all-MiniLM-L6-v2,l2_normalized,proj_128d,svd,100,L2,1.0,1.0,0.0,1.0135818147659301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.046489290595054626,0.068540820479393,0.09466018676757813,0.1257684826850891,0.1617009937763214,0.23323576152324677,0.26687075197696686,3.256293027269623,0.606141167718011,0.6146971583366394,0.6575410962104797
all-MiniLM-L6-v2,l2_normalized,proj_128d,svd,100,Cosine,1.0,1.0,0.0,1.1456519490480424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.04080560803413391,0.06025307178497315,0.10163412094116211,0.13348257541656494,0.16335442662239075,0.20889826118946075,0.2382172703742981,2.6908949390877117,0.606141167718011,0.6146971583366394,0.6575410962104797
