N,mode,projection_type,W,recall_at_1,recall_at_5,recall_at_10,mean_rank,mean_margin,p5_margin,mean_gap_ratio,mean_top1_dist,mean_top2_dist,mean_decision_gap,neighbor_recall_at_10,distortion_rate
100,capacity,identity,384,0.95,1.0,1.0,1.06,1.4527134990692139,0.027008390426635748,1.1595287720629766,9.955081272125245,11.407794771194459,1.4738819789886475,1.0,0.0
100,capacity,random,32,0.61,0.9033333333333333,0.9633333333333333,0.0,0.032828547159830725,-0.11563840806484223,0.0,0.0,0.0,0.07287743826707205,0.6349999999999999,0.004382490956534942
100,capacity,svd,32,0.81,1.0,1.0,1.31,0.23962726950645447,-0.06519923210144042,1.1833575546005441,1.5946040213108064,1.8342312908172607,0.25831801652908326,0.765,0.04747156798839569
100,capacity,learned,32,0.86,1.0,1.0,1.19,0.2659276968240738,-0.06881904602050781,1.3725279899992662,0.9098261970281601,1.1757538938522338,0.28472287476062774,0.6609999999999999,0.06031622737646103
100,capacity,random,64,0.8033333333333333,0.9833333333333334,0.9966666666666667,0.0,0.16144528230031333,-0.08024363517761231,0.0,0.0,0.0,0.18266915440559386,0.6896666666666667,0.0034236778349926076
100,capacity,svd,64,0.92,1.0,1.0,1.09,0.6634370219707489,-0.0197664737701416,1.288990019923495,2.5967636811733246,3.2602007031440734,0.6708757078647614,0.8050000000000002,0.024909228086471558
100,capacity,learned,64,0.87,1.0,1.0,1.22,0.5377696168422699,-0.14844548106193542,1.3131341233196117,1.8875203227996826,2.4252899396419525,0.570305083990097,0.7140000000000001,0.05758752301335335
100,capacity,random,128,0.85,0.9966666666666667,1.0,0.0,0.38377516031265263,-0.10721640984217325,0.0,0.0,0.0,0.4107174690564473,0.7453333333333334,0.0027902521348247924
100,capacity,svd,128,0.93,1.0,1.0,1.08,0.9410866951942444,-0.04346113204956055,1.2311149905878263,4.536826984882355,5.4779136800765995,0.9507922291755676,0.7660000000000001,0.00663708196952939
100,capacity,learned,128,0.91,1.0,1.0,1.11,1.2512732458114624,-0.11053149700164795,1.3769232681337022,3.8118798899650574,5.06315313577652,1.2787812280654907,0.7349999999999999,0.05710308626294136
100,capacity,random,256,0.91,1.0,1.0,0.0,0.856188842455546,-0.1258254051208496,0.0,0.0,0.0,0.8905030234654744,0.8013333333333336,0.0019130479001129668
100,capacity,svd,256,0.94,1.0,1.0,1.07,0.9454145860671997,-0.052779865264892575,1.1388787778980882,7.320089387893677,8.265503973960877,0.9546408414840698,0.7640000000000002,0.01958119496703148
100,capacity,learned,256,0.93,1.0,1.0,1.07,2.510186343193054,-0.12355384826660155,1.3643123815258342,7.809601616859436,10.31978796005249,2.567604384422302,0.7329999999999999,0.05687608942389488
100,generalization,identity,384,0.98,1.0,1.0,1.02,1.843640022277832,0.5738215923309327,1.1967919836276564,9.931651191711426,11.775291213989258,1.870180549621582,1.0,0.0
100,generalization,random,32,0.7733333333333333,0.9666666666666667,1.0,0.0,0.07533934990564982,-0.09062910377979277,0.0,0.0,0.0,0.09754472136497498,0.7746666666666667,0.004435304474706451
100,generalization,svd,32,0.9,1.0,1.0,1.1,0.19561275243759155,-0.08360220789909362,1.1395091050707464,1.5453749632835387,1.7409877157211304,0.2228850817680359,0.8140000000000001,0.03371842950582504
100,generalization,learned,32,0.9,1.0,1.0,1.14,0.2549040949344635,-0.043258112668991086,1.2940151100302892,0.9812854325771332,1.2361895275115966,0.2723753345012665,0.76,0.04828793182969093
100,generalization,random,64,0.9199999999999999,1.0,1.0,0.0,0.23646210590998332,-0.016511156161626173,0.0,0.0,0.0,0.24773877064387004,0.8133333333333335,0.0032897222942362228
100,generalization,svd,64,0.94,1.0,1.0,1.06,0.4484728026390076,0.025336527824401878,1.1826739256873855,2.564530155658722,3.0130029582977294,0.45928058385848997,0.8380000000000001,0.01503724604845047
100,generalization,learned,64,0.88,1.0,1.0,1.12,0.5601277422904968,-0.20182547569274903,1.2990624158702255,2.012587380409241,2.5727151226997376,0.6124774479866028,0.78,0.044575467705726624
100,generalization,random,128,0.9466666666666667,1.0,1.0,0.0,0.5211334848403931,0.03181506792704266,0.0,0.0,0.0,0.5381266864140829,0.852,0.0027726604603230953
100,generalization,svd,128,0.98,1.0,1.0,1.02,0.782275276184082,0.32167370319366456,1.1779560249567933,4.540832290649414,5.323107566833496,0.7852458190917969,0.8739999999999999,0.0056077842600643635
100,generalization,learned,128,0.94,1.0,1.0,1.06,1.2408295631408692,-0.004002451896667475,1.3370663216550975,4.016303396224975,5.257132959365845,1.2478013038635254,0.7760000000000001,0.0462990403175354
100,generalization,random,256,0.98,1.0,1.0,0.0,1.1500557072957358,0.2474339564641317,0.0,0.0,0.0,1.1681553904215496,0.8773333333333335,0.0018983610983317096
100,generalization,svd,256,1.0,1.0,1.0,1.0,1.3656529998779297,0.4147326946258545,1.1982725726028405,7.142969913482666,8.508622913360595,1.3656529998779297,0.852,0.011685952544212341
100,generalization,learned,256,0.86,1.0,1.0,1.14,2.447354030609131,-0.5654417037963867,1.3280348054262539,8.101994276046753,10.549348306655883,2.6133950042724607,0.7840000000000003,0.04530823975801468
200,capacity,identity,384,0.95,1.0,1.0,1.055,1.484641718864441,0.027005624771118203,1.1600518989104365,10.000797629356384,11.485439348220826,1.5026100635528565,1.0,0.0
