seed,experiment,config,alpha_decay,u2_enabled,replay_buffer_size,num_facts,recall,forgetting,drift,variance_mean,variance_min,variance_max,runtime_sec,efficiency
42,replay_comparison,SGD_replay=0,,,0,50,0.04,0.42000000000000004,4.991821531206369,0.0,0.0,0.0,0.7632231712341309,0.04
101,replay_comparison,SGD_replay=0,,,0,50,0.02,0.14,5.066789239645004,0.0,0.0,0.0,0.7001280784606934,0.02
202,replay_comparison,SGD_replay=0,,,0,50,0.04,0.36000000000000004,5.1789588034152985,0.0,0.0,0.0,0.6881082057952881,0.04
303,replay_comparison,SGD_replay=0,,,0,50,0.04,0.28,4.974435746669769,0.0,0.0,0.0,0.8189651966094971,0.04
404,replay_comparison,SGD_replay=0,,,0,50,0.02,0.14,5.070115864276886,0.0,0.0,0.0,0.7293860912322998,0.02
42,replay_comparison,SGD_replay=10,,,10,50,0.02,0.12000000000000001,8.649476051330566,0.0,0.0,0.0,1.455726146697998,0.002
101,replay_comparison,SGD_replay=10,,,10,50,0.02,0.08,8.70422649383545,0.0,0.0,0.0,1.9911894798278809,0.002
202,replay_comparison,SGD_replay=10,,,10,50,0.02,0.2,8.719791889190674,0.0,0.0,0.0,1.7248127460479736,0.002
303,replay_comparison,SGD_replay=10,,,10,50,0.02,0.09999999999999999,8.92002010345459,0.0,0.0,0.0,2.4377543926239014,0.002
404,replay_comparison,SGD_replay=10,,,10,50,0.02,0.16,8.540281295776367,0.0,0.0,0.0,1.775324821472168,0.002
42,replay_comparison,SGD_replay=50,,,50,50,0.02,0.22,8.75770878791809,0.0,0.0,0.0,1.213712215423584,0.0004
101,replay_comparison,SGD_replay=50,,,50,50,0.02,0.18000000000000002,8.69045352935791,0.0,0.0,0.0,1.1893014907836914,0.0004
202,replay_comparison,SGD_replay=50,,,50,50,0.02,0.26,8.561542272567749,0.0,0.0,0.0,1.2803480625152588,0.0004
303,replay_comparison,SGD_replay=50,,,50,50,0.02,0.2,8.865558385848999,0.0,0.0,0.0,1.4129767417907715,0.0004
404,replay_comparison,SGD_replay=50,,,50,50,0.02,0.26,8.544290542602539,0.0,0.0,0.0,1.3930904865264893,0.0004
42,replay_comparison,SGD_replay=100,,,100,50,0.02,0.22,8.75770878791809,0.0,0.0,0.0,1.240037202835083,0.0002
101,replay_comparison,SGD_replay=100,,,100,50,0.02,0.18000000000000002,8.69045352935791,0.0,0.0,0.0,1.1791861057281494,0.0002
202,replay_comparison,SGD_replay=100,,,100,50,0.02,0.26,8.561542272567749,0.0,0.0,0.0,1.21055269241333,0.0002
303,replay_comparison,SGD_replay=100,,,100,50,0.02,0.2,8.865558385848999,0.0,0.0,0.0,1.3064188957214355,0.0002
404,replay_comparison,SGD_replay=100,,,100,50,0.02,0.26,8.544290542602539,0.0,0.0,0.0,1.3138535022735596,0.0002
42,replay_comparison,MESU_replay=0,0.02,True,0,50,0.02,0.98,6.361410617828369,0.00988445058465004,0.0028930020052939653,0.009999977424740791,1.550222396850586,0.02
101,replay_comparison,MESU_replay=0,0.02,True,0,50,0.02,0.98,6.527546167373657,0.009884138591587543,0.002283921465277672,0.009999977424740791,1.6747007369995117,0.02
202,replay_comparison,MESU_replay=0,0.02,True,0,50,0.02,0.98,6.402418851852417,0.009876862168312073,0.002156754955649376,0.009999977424740791,1.8684744834899902,0.02
303,replay_comparison,MESU_replay=0,0.02,True,0,50,0.02,0.98,6.41161322593689,0.009880807250738144,0.0024217732716351748,0.009999977424740791,1.6545085906982422,0.02
404,replay_comparison,MESU_replay=0,0.02,True,0,50,0.02,0.98,6.391161203384399,0.009884330444037914,0.0025187882129102945,0.009999977424740791,1.6550357341766357,0.02
42,replay_comparison,MESU_replay=10,0.02,True,10,50,0.04,0.62,5.650436162948608,0.009718023240566254,0.002626892179250717,0.009999977424740791,1.981677770614624,0.004
101,replay_comparison,MESU_replay=10,0.02,True,10,50,0.02,0.74,5.127939701080322,0.009726806543767452,0.0016733615193516016,0.009999977424740791,1.9911646842956543,0.002
202,replay_comparison,MESU_replay=10,0.02,True,10,50,0.02,0.66,5.248652696609497,0.00971946120262146,0.0023925011046230793,0.009999977424740791,2.1932213306427,0.002
303,replay_comparison,MESU_replay=10,0.02,True,10,50,0.04,0.5399999999999999,5.287915945053101,0.009728153236210346,0.002312101423740387,0.009999969974160194,2.2054429054260254,0.004
404,replay_comparison,MESU_replay=10,0.02,True,10,50,0.02,0.5,5.599001407623291,0.00971548818051815,0.0028663838747888803,0.009999977424740791,2.1651713848114014,0.002
42,replay_comparison,MESU_replay=50,0.02,True,50,50,0.08,0.46,5.128840208053589,0.00961992610245943,0.0022370684891939163,0.009999977424740791,2.0418412685394287,0.0016
101,replay_comparison,MESU_replay=50,0.02,True,50,50,0.04,0.72,4.41028904914856,0.009624166414141655,0.0018593737622722983,0.009999977424740791,2.0396578311920166,0.0008
202,replay_comparison,MESU_replay=50,0.02,True,50,50,0.02,0.72,4.642711043357849,0.009633947163820267,0.001922326977364719,0.009999977424740791,2.2656657695770264,0.0004
303,replay_comparison,MESU_replay=50,0.02,True,50,50,0.02,0.72,4.54987370967865,0.009627305902540684,0.0022067923564463854,0.009999977424740791,2.2338967323303223,0.0004
404,replay_comparison,MESU_replay=50,0.02,True,50,50,0.06,0.76,5.037004709243774,0.009635301306843758,0.002365963999181986,0.009999977424740791,2.203861951828003,0.0012
