seed,experiment,config,recall,forgetting,drift,variance_mean,variance_min,variance_max,runtime_sec
42,semantic_interference,interference=related,1.0,0.0,1.9749173820018768,0.007413675542920828,0.0017394470050930977,0.009930730797350407,0.0
101,semantic_interference,interference=related,0.0,1.0,1.9579306244850159,0.007257473189383745,0.0017664856277406216,0.0098935067653656,0.0
202,semantic_interference,interference=related,1.0,0.0,1.9044578075408936,0.007243384141474962,0.0017394470050930977,0.00991522055119276,0.0
303,semantic_interference,interference=related,1.0,0.0,2.1237959265708923,0.007402671966701746,0.0017557337414473295,0.009898653253912926,0.0
404,semantic_interference,interference=related,1.0,0.0,1.8050701320171356,0.00749911367893219,0.0017486442811787128,0.009971174411475658,0.0
505,semantic_interference,interference=related,1.0,0.0,1.872758537530899,0.007692115381360054,0.0017394470050930977,0.009978262707591057,0.0
606,semantic_interference,interference=related,1.0,0.0,1.8548890054225922,0.0075809224508702755,0.001759704202413559,0.00996975414454937,0.0
707,semantic_interference,interference=related,0.0,1.0,2.0995543897151947,0.007234644610434771,0.0017722179181873798,0.009948310442268848,0.0
808,semantic_interference,interference=related,0.0,1.0,1.9682561755180359,0.007350433152168989,0.0017394470050930977,0.009940334595739841,0.0
909,semantic_interference,interference=related,1.0,0.0,1.8999183475971222,0.007194542791694403,0.0017394470050930977,0.00995879340916872,0.0
42,semantic_interference,interference=neutral,1.0,0.0,1.9957089126110077,0.00688028521835804,0.0017533882055431604,0.009893669746816158,0.0
101,semantic_interference,interference=neutral,0.0,1.0,2.1307311952114105,0.007283756975084543,0.0017664856277406216,0.009913243353366852,0.0
202,semantic_interference,interference=neutral,1.0,0.0,2.160076826810837,0.006796563509851694,0.0017560168635100126,0.0099085858091712,0.0
303,semantic_interference,interference=neutral,1.0,0.0,2.1404330730438232,0.006856290623545647,0.0017620510188862681,0.009861305356025696,0.0
404,semantic_interference,interference=neutral,1.0,0.0,1.9660629630088806,0.007261499762535095,0.0017486442811787128,0.009931222535669804,0.0
505,semantic_interference,interference=neutral,1.0,0.0,2.0978981256484985,0.007062096148729324,0.0017606139881536365,0.009947538375854492,0.0
606,semantic_interference,interference=neutral,1.0,0.0,2.0196112990379333,0.007450610399246216,0.001759704202413559,0.009932979941368103,0.0
707,semantic_interference,interference=neutral,1.0,0.0,2.1496389508247375,0.007053081877529621,0.0017722020857036114,0.009919785894453526,0.0
808,semantic_interference,interference=neutral,0.0,1.0,2.0515500009059906,0.00722380168735981,0.0017591709038242698,0.00995721761137247,0.0
909,semantic_interference,interference=neutral,1.0,0.0,1.9471867680549622,0.007027813233435154,0.001740054227411747,0.009956802241504192,0.0
42,semantic_interference,interference=conflicting,1.0,0.0,1.7859759032726288,0.007264781277626753,0.0017394470050930977,0.009914275258779526,0.0
101,semantic_interference,interference=conflicting,0.0,1.0,1.8793435096740723,0.00725579634308815,0.0017394470050930977,0.009962106123566628,0.0
202,semantic_interference,interference=conflicting,1.0,0.0,1.8101362586021423,0.00729689747095108,0.0017394470050930977,0.009939420968294144,0.0
303,semantic_interference,interference=conflicting,1.0,0.0,1.8988045752048492,0.007558388169854879,0.0017394470050930977,0.009930814616382122,0.0
404,semantic_interference,interference=conflicting,1.0,0.0,1.6949833631515503,0.007479247637093067,0.0017394470050930977,0.009945100173354149,0.0
505,semantic_interference,interference=conflicting,1.0,0.0,1.5740294456481934,0.008114389143884182,0.0017394470050930977,0.009989303536713123,0.0
606,semantic_interference,interference=conflicting,0.0,1.0,1.742135912179947,0.0077293552458286285,0.0017394470050930977,0.009927154518663883,0.0
707,semantic_interference,interference=conflicting,0.0,1.0,1.9300717115402222,0.007530516944825649,0.0017523050773888826,0.009976385161280632,0.0
808,semantic_interference,interference=conflicting,0.0,1.0,1.898844987154007,0.007554296404123306,0.0017394470050930977,0.0099000483751297,0.0
909,semantic_interference,interference=conflicting,0.0,1.0,1.8124051988124847,0.00762514490634203,0.0017394470050930977,0.009988542646169662,0.0
