seed,experiment,config,alpha_decay,u2_enabled,replay_buffer_size,num_facts,recall,forgetting,drift,variance_mean,variance_min,variance_max,runtime_sec,width
42,width_scaling,"width=32,num_facts=5",0.02,True,0,5,0.4,0.4,3.2199397683143616,0.009921343997120857,0.0023259588051587343,0.009999984875321388,0.18396925926208496,32
101,width_scaling,"width=32,num_facts=5",0.02,True,0,5,0.6,0.4,3.416360706090927,0.009924361482262611,0.003119012340903282,0.00999998115003109,0.1920919418334961,32
202,width_scaling,"width=32,num_facts=5",0.02,True,0,5,0.2,0.8,3.580684721469879,0.009929429739713669,0.0040791393257677555,0.009999977424740791,0.20639657974243164,32
42,width_scaling,"width=32,num_facts=10",0.02,True,0,10,0.1,0.9,3.8607553243637085,0.009895249269902706,0.0029273726977407932,0.009999977424740791,0.3318789005279541,32
101,width_scaling,"width=32,num_facts=10",0.02,True,0,10,0.3,0.7,3.8141679763793945,0.009888870641589165,0.003021355252712965,0.009999977424740791,0.34626007080078125,32
202,width_scaling,"width=32,num_facts=10",0.02,True,0,10,0.1,0.9,4.0038716197013855,0.009893136098980904,0.002536124549806118,0.009999977424740791,0.4167017936706543,32
42,width_scaling,"width=32,num_facts=20",0.02,True,0,20,0.05,0.95,4.656509280204773,0.009880881756544113,0.0027709801215678453,0.009999977424740791,0.6244347095489502,32
101,width_scaling,"width=32,num_facts=20",0.02,True,0,20,0.05,0.95,4.629664301872253,0.00987972877919674,0.0027980345766991377,0.009999977424740791,0.6100661754608154,32
202,width_scaling,"width=32,num_facts=20",0.02,True,0,20,0.05,0.95,4.615829586982727,0.009881006553769112,0.0024630497209727764,0.009999977424740791,0.61576247215271,32
42,width_scaling,"width=32,num_facts=50",0.02,True,0,50,0.02,0.98,6.361410617828369,0.00988445058465004,0.0028930020052939653,0.009999977424740791,1.7433695793151855,32
101,width_scaling,"width=32,num_facts=50",0.02,True,0,50,0.02,0.98,6.527546167373657,0.009884138591587543,0.002283921465277672,0.009999977424740791,1.650820016860962,32
202,width_scaling,"width=32,num_facts=50",0.02,True,0,50,0.02,0.98,6.402418851852417,0.009876862168312073,0.002156754955649376,0.009999977424740791,1.5855309963226318,32
42,width_scaling,"width=32,num_facts=100",0.02,True,0,100,0.01,0.99,9.206024646759033,0.00989415030926466,0.0028242641128599644,0.009999977424740791,3.5017926692962646,32
101,width_scaling,"width=32,num_facts=100",0.02,True,0,100,0.01,0.99,9.244220972061157,0.009890638291835785,0.0028921107295900583,0.009999977424740791,3.511326551437378,32
202,width_scaling,"width=32,num_facts=100",0.02,True,0,100,0.01,0.99,9.213560819625854,0.009888782165944576,0.002746314974501729,0.009999977424740791,3.5494544506073,32
42,width_scaling,"width=32,num_facts=200",0.02,True,0,200,0.005,0.995,13.170155763626099,0.009931568056344986,0.0038875597529113293,0.009999977424740791,7.04069185256958,32
101,width_scaling,"width=32,num_facts=200",0.02,True,0,200,0.005,0.995,12.978320360183716,0.009929339401423931,0.0035006855614483356,0.009999977424740791,6.660422086715698,32
202,width_scaling,"width=32,num_facts=200",0.02,True,0,200,0.005,0.995,13.117244243621826,0.009931787848472595,0.0031388592906296253,0.009999977424740791,6.8335793018341064,32
42,width_scaling,"width=32,num_facts=400",0.02,True,0,400,0.0025,0.9975,18.05296540260315,0.009961798787117004,0.004762645345181227,0.009999977424740791,13.930138349533081,32
101,width_scaling,"width=32,num_facts=400",0.02,True,0,400,0.0025,0.9975,18.02369499206543,0.009961019270122051,0.004471560008823872,0.009999977424740791,13.876195669174194,32
202,width_scaling,"width=32,num_facts=400",0.02,True,0,400,0.0025,0.9975,18.077601671218872,0.009963649325072765,0.004700190853327513,0.009999977424740791,13.876203775405884,32
42,width_scaling,"width=32,num_facts=800",0.02,True,0,800,0.00125,0.99875,23.327446937561035,0.009974149987101555,0.003888834500685334,0.009999977424740791,30.919612646102905,32
101,width_scaling,"width=32,num_facts=800",0.02,True,0,800,0.00125,0.99875,22.81571626663208,0.009980907663702965,0.006166982930153608,0.009999977424740791,31.820205450057983,32
202,width_scaling,"width=32,num_facts=800",0.02,True,0,800,0.00125,0.99875,23.312045574188232,0.009975722059607506,0.0045526339672505856,0.009999977424740791,30.72469663619995,32
42,width_scaling,"width=64,num_facts=5",0.02,True,0,5,0.4,0.6,4.443554073572159,0.009934133850038052,0.0036829474847763777,0.009999995119869709,0.23412871360778809,64
101,width_scaling,"width=64,num_facts=5",0.02,True,0,5,0.4,0.4,4.534523844718933,0.009936043992638588,0.004293341189622879,0.00999997928738594,0.2421424388885498,64
202,width_scaling,"width=64,num_facts=5",0.02,True,0,5,0.4,0.4,4.590370833873749,0.009937072172760963,0.004386258777230978,0.009999977424740791,0.23500323295593262,64
42,width_scaling,"width=64,num_facts=10",0.02,True,0,10,0.1,0.9,5.234220504760742,0.009924574755132198,0.004380661062896252,0.009999977424740791,0.4571411609649658,64
101,width_scaling,"width=64,num_facts=10",0.02,True,0,10,0.1,0.9,4.9244935512542725,0.009922713972628117,0.004454710520803928,0.009999977424740791,0.4383399486541748,64
202,width_scaling,"width=64,num_facts=10",0.02,True,0,10,0.1,0.9,4.94411689043045,0.009918180294334888,0.0037622691597789526,0.009999977424740791,0.5063607692718506,64
42,width_scaling,"width=64,num_facts=20",0.02,True,0,20,0.05,0.95,5.473876714706421,0.0099182752892375,0.003598744049668312,0.009999977424740791,0.8333413600921631,64
101,width_scaling,"width=64,num_facts=20",0.02,True,0,20,0.05,0.95,5.5133057832717896,0.00991955678910017,0.0041329339146614075,0.009999977424740791,0.7616925239562988,64
202,width_scaling,"width=64,num_facts=20",0.02,True,0,20,0.05,0.95,5.714069128036499,0.00991947203874588,0.004236144013702869,0.009999977424740791,0.7664225101470947,64
42,width_scaling,"width=64,num_facts=50",0.02,True,0,50,0.02,0.98,8.59913945198059,0.009936145506799221,0.005151153542101383,0.009999977424740791,2.0604965686798096,64
101,width_scaling,"width=64,num_facts=50",0.02,True,0,50,0.02,0.98,8.622118473052979,0.009938167408108711,0.005381566472351551,0.009999977424740791,1.8168809413909912,64
202,width_scaling,"width=64,num_facts=50",0.02,True,0,50,0.02,0.98,8.65284776687622,0.009936741553246975,0.005324770230799913,0.009999977424740791,1.8198039531707764,64
42,width_scaling,"width=64,num_facts=100",0.02,True,0,100,0.01,0.99,11.24671983718872,0.009958535432815552,0.006535295397043228,0.009999977424740791,3.645629405975342,64
101,width_scaling,"width=64,num_facts=100",0.02,True,0,100,0.01,0.99,11.36657190322876,0.009957736358046532,0.0062544578686356544,0.009999977424740791,3.601148843765259,64
202,width_scaling,"width=64,num_facts=100",0.02,True,0,100,0.01,0.99,11.28712511062622,0.009959060698747635,0.006393092684447765,0.009999977424740791,3.6076459884643555,64
42,width_scaling,"width=64,num_facts=200",0.02,True,0,200,0.005,0.995,14.44585657119751,0.009968748316168785,0.006257915869355202,0.009999977424740791,7.498534679412842,64
101,width_scaling,"width=64,num_facts=200",0.02,True,0,200,0.005,0.995,14.268702983856201,0.009968698024749756,0.006475603207945824,0.009999977424740791,7.522280216217041,64
202,width_scaling,"width=64,num_facts=200",0.02,True,0,200,0.005,0.995,14.546792984008789,0.009967563673853874,0.005634387489408255,0.009999977424740791,7.488487005233765,64
42,width_scaling,"width=64,num_facts=400",0.02,True,0,400,0.0025,0.9975,18.557408809661865,0.009987285360693932,0.007924152538180351,0.009999977424740791,16.20185375213623,64
101,width_scaling,"width=64,num_facts=400",0.02,True,0,400,0.0025,0.9975,17.951759815216064,0.009986788034439087,0.007682571187615395,0.009999977424740791,15.979805707931519,64
202,width_scaling,"width=64,num_facts=400",0.02,True,0,400,0.0025,0.9975,18.427021503448486,0.009985711425542831,0.00704586785286665,0.009999977424740791,16.051083087921143,64
42,width_scaling,"width=64,num_facts=800",0.02,True,0,800,0.00125,0.995,25.714123725891113,0.009992832317948341,0.008150880225002766,0.009999977424740791,51.11163544654846,64
101,width_scaling,"width=64,num_facts=800",0.02,True,0,800,0.00125,0.9975,25.555522918701172,0.009992806240916252,0.008143872953951359,0.009999977424740791,51.061229944229126,64
202,width_scaling,"width=64,num_facts=800",0.02,True,0,800,0.00125,0.99875,25.491344451904297,0.009992768988013268,0.0081486152485013,0.009999977424740791,50.689186334609985,64
42,width_scaling,"width=128,num_facts=5",0.02,True,0,5,0.2,0.6000000000000001,5.849849164485931,0.009948203340172768,0.004954637959599495,0.009999996982514858,0.27185511589050293,128
